,title,street,city,country_code,address_text,marker_icon,remote,company_name,company_url,company_size,experience_level,salary_from,salary_to,salary_currency,latitude,longitude,employment_type,published_at,remote_interview,id,company_logo_url,skills,.NET,Design,-,Network,REST API,Embeded,Cloud,Database,Android,IT,Soft Skills,Scrum master,Mobile,Common,JavaScript,DevOps,Software engineering,Testing,Automation,Shell Scripting,Backend,Data Science,Blockchain,C++,Client Service,Front-end,Civil Engineering,Developer,iOS,SQL,Python,PHP,Erlang,Scala,Git,Games,Golang,Google,Java,Web,Consultant,Project Manager,Analitics,CRM,Perl,R,Ruby,Rust,SAP,CSS,XML,Salesforce,API,Data,Excel,Vert.x
0,Information Security Analyst,Wioślarska 8,Warszawa,PL,"Wioślarska 8, Warszawa",security,False,Cloud Best sp. z o.o.,https://www.minebest.com/,100,mid,12000.0,15000.0,pln,52.2334907,21.039439,b2b,2020-05-24T15:00:07.116Z,True,cloud-best-sp-z-o-o-information-security-analyst,https://bucket.justjoin.it/offers/company_logos/thumb/3538c913fb0ac87ce3f148549d3e3b3fafa83f68.png?1588604569,"[{'name': 'SIEM', 'level': 3}, {'name': 'Rapid 7', 'level': 3}, {'name': 'Tenable', 'level': 3}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Senior Elixir Developer,ul. Droga Dębińska 3a/3,Poznań,PL,"ul. Droga Dębińska 3a/3, Poznań",ruby,True,AppUnite,https://appunite.com,80+,senior,11000.0,14500.0,pln,52.3977779,16.935533,b2b,2020-05-24T15:00:07.116Z,True,appunite-senior-elixir-developer,https://bucket.justjoin.it/offers/company_logos/thumb/59afb5f1e2a333477fe6d241c773f2af92dd4bf1.png?1575977157,"[{'name': 'Phoenix', 'level': 4}, {'name': 'Elixir', 'level': 4}, {'name': 'Web Applications', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Senior C/C++ Software Engineer,Center,Katowice,PL,"Center, Katowice",c,False,IC Resources,https://ic-resources.com/,1000-10000,senior,13000.0,20000.0,pln,50.2648919,19.0237815,permanent,2020-05-24T15:00:07.116Z,True,ic-resources-senior-c-c-software-engineer,https://bucket.justjoin.it/offers/company_logos/thumb/48672e54643a0d665880c7a7ffe387bb44714ccc.png?1585761667,"[{'name': 'C', 'level': 1}, {'name': 'Linux', 'level': 4}, {'name': 'C++', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Java Developer,Rondo Daszyńskiego,Warszawa,PL,"Rondo Daszyńskiego, Warszawa",java,False,dotLinkers,http://dotLinkers,17,senior,18000.0,25800.0,pln,52.2300538,20.984534,b2b,2020-05-24T15:00:07.116Z,True,dotlinkers-java-eveloper,https://bucket.justjoin.it/offers/company_logos/thumb/b4b8beefbe38d34b43967765f27a67888cdcd7fd.jpg?1569939999,"[{'name': 'Spring', 'level': 4}, {'name': 'Java', 'level': 4}, {'name': 'OOP', 'level': 5}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Full Stack Python Developer,Grabiszyńska 163,Wrocław,PL,"Grabiszyńska 163, Wrocław",python,False,Ulam Labs,https://ulam.io,20+,mid,8000.0,15000.0,pln,51.0992358,16.9968722,b2b,2020-05-24T15:00:07.116Z,True,ulam-labs-full-stack-python-developer,https://bucket.justjoin.it/offers/company_logos/thumb/48e235344d766fc6cbcd9c76f00e87cda0d07a48.png?1513005073,"[{'name': 'JavaScript', 'level': 2}, {'name': 'Python', 'level': 3}, {'name': 'English', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Senior Full Stack Python Developer,Grabiszyńska 163,Wrocław,PL,"Grabiszyńska 163, Wrocław",python,False,Ulam Labs,https://ulam.io,20+,senior,13000.0,19000.0,pln,51.0992358,16.9968722,b2b,2020-05-24T15:00:07.116Z,True,ulam-labs-senior-full-stack-python-developer,https://bucket.justjoin.it/offers/company_logos/thumb/45b15c76ad6ef93d38c235bbab939af64528724e.png?1582553101,"[{'name': 'JavaScript', 'level': 3}, {'name': 'Python', 'level': 4}, {'name': 'English', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AWS Architect,Al. Jerozolimskie 96,Warszawa,PL,"Al. Jerozolimskie 96, Warszawa",devops,False,BlueSoft,https://bluesoft.com,650+,senior,21500.0,25000.0,pln,52.2225651,20.9784998,b2b,2020-05-24T15:00:07.116Z,True,bluesoft-aws-architect,https://bucket.justjoin.it/offers/company_logos/thumb/abf95560530fe8aeabaece8627a9c3b059090d5d.png?1588603306,"[{'name': 'AWS', 'level': 5}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Tech Lead (Python),"św. Antoniego, 2/4",Wrocław,PL,"św. Antoniego, 2/4, Wrocław",python,False,Clearcode,https://clearcode.pl/kariera/,80+,senior,14000.0,17000.0,pln,51.1087025,17.0266973,b2b,2020-05-24T15:00:07.116Z,True,clearcode-tech-lead-python,https://bucket.justjoin.it/offers/company_logos/thumb/a2781842da6094fa8c79d45d44f092da0d093ee7.png?1588691741,"[{'name': 'Big Data', 'level': 1}, {'name': 'Python', 'level': 3}, {'name': 'AWS / GoogleCloud / Azure', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Senior Python Developer,Skierniewicka 10a,Warszawa,PL,"Skierniewicka 10a, Warszawa",python,False,Intiaro,https://www.intiaro.com/,11-50,senior,12000.0,16000.0,pln,52.2298566,20.9706963,b2b,2020-05-24T15:00:07.116Z,True,intiaro-senior-python-developer,https://bucket.justjoin.it/offers/company_logos/thumb/2152ccb910ac8e89132a547f0ad4e4a5c4a0a41e.png?1587472242,"[{'name': 'JavaScript / TypeScript', 'level': 1}, {'name': 'Django', 'level': 4}, {'name': 'Python', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,z/OS-Mainframe Software Developer,Plac Brama Portowa 1,Szczecin,PL,"Plac Brama Portowa 1, Szczecin",c,True,Codelab Sp. z o.o.,https://codelab.eu/,200-300,senior,10000.0,16000.0,pln,53.4246838,14.5497809,permanent,2020-05-24T15:00:07.116Z,True,codelab-sp-z-o-o-z-os-mainframe-software-developer,https://bucket.justjoin.it/offers/company_logos/thumb/874adbe3d03d17cdee6c5f0b87706c0f53dd34e7.png?1586944594,"[{'name': 'HLASM', 'level': 1}, {'name': 'IDE', 'level': 3}, {'name': 'C', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
