,0
0,.NET C#
1,.NET Core
2,.NET Core (5 stars)
3,.NET Framework 4.5.1
4,.NET MVC
5,.Net
6,.Net Framework
7,3D level Design
8,3Dmatch
9,3GPP
10,5G
11,AAA Services
12,AI
13,AISEC
14,AMS
15,API
16,API REST/SOAP
17,API rest
18,ARM
19,ASP .NET Web API
20,ASP.
21,ASP.NET
22,ASP.NET Core
23,ASP.NET Core MVC
24,ASP.NET MVC
25,ASP.NET MVC 5.
26,ASP.NET Web API
27,ASP.NET.MVC 4/5.2
28,AWS
29,AWS / GoogleCloud / Azure
30,AWS Azure
31,AWS/Azure/Google Cloud
32,AWS/GCP
33,Access
34,Active Directory
35,Adobe Creative Cloud
36,Adobe Illustrator
37,Adobe Photoshop
38,Adobe XD
39,Adroid SDK
40,Advanced Installer
41,Advertising
42,Agile
43,Agile / Scrum
44,Agile/Scrum
45,Akka
46,Amazon AWS
47,Amazon Web Services
48,Amelia Chat
49,Amplitude
50,Analityczne Myślenie
51,Analiza Biznesowa
52,Analytical Thinking
53,Analytical skills
54,Analytics
55,Android
56,Android Binding
57,Android SDK
58,Android Studio
59,Android/iOS
60,Angielski
61,Angular
62,Angular / React
63,Angular / React / Vue
64,Angular 2
65,Angular 2+
66,Angular 4
67,Angular 4+
68,Angular 5
69,Angular 5+
70,Angular 6
71,Angular 6+
72,Angular 7
73,Angular 8
74,Angular2+
75,AngularJS
76,Ansible
77,Ansible / Puppet / Chef
78,Ansible or Salt
79,Ansible/Puppet/Chef/ Salt
80,AnyConnect
81,Apache
82,Apache Cordova
83,Apache Hadoop
84,Apache Karaf
85,Apache Spark
86,Apex
87,Architecture
88,Aurelia
89,Automated Testing
90,Automatyzacja
91,Autosar
92,Autosys
93,Axure RP
94,Azure
95,Azure Data Lake
96,Azure Databricks
97,Azure DevOps
98,Azure IoT Hub
99,Azure Kubernetes Service
100,Azure Services
101,BASH/ZSH
102,BI Publisher
103,BPM
104,BPMN
105,BSCS
106,Backend
107,Bamboo
108,Bash
109,Bash/Shell
110,Batch
111,Bazy Danych
112,Behat
113,Big Data
114,Bitcoin
115,Blockchain
116,Boost
117,Build/CI software
118,Business Analysis
119,Business Intelligence
120,C
121,C / C++
122,C#
123,C# / .NET
124,C++
125,C++ 14
126,C++11
127,C/C++
128,CAD
129,CCNA Cerificate
130,CCNP
131,CD
132,CI
133,CI / CD
134,CI/CD
135,CIFS
136,CQRS
137,CRM
138,CSM
139,CSS
140,CSS / HTML
141,CSS / SASS
142,CSS preprocessors
143,CSS/SCSS
144,CSS3
145,CSV
146,Camunda BPM
147,Ceph
148,Chatboty
149,Chef
150,Chef / Ansible / Puppet
151,Cisco
152,Cisco)
153,Citrix
154,Citrix Storefront
155,Civil Engineering
156,Clean Code
157,Clean Coding
158,Cloud
159,Cloud Computing
160,Cloudera
161,Cobol
162,Cocoa Touch
163,CocoaPods
164,Code Review
165,CodedUI
166,Communication
167,Communication Skills
168,Commvault
169,Composer
170,Computer science
171,Confluence
172,Containers
173,Continuous Delivery
