,0
0,.NET C#
1,.Net
2,3D level Design
3,3Dmatch
4,3GPP
5,5G
6,AAA Services
7,AI
8,AISEC
9,AMS
10,API REST/SOAP
11,ARM
12,ASP .NET Web API
13,ASP.
14,ASP.NET Core MVC
15,AWS
16,AWS/GCP
17,Access
18,Active Directory
19,Adobe Creative Cloud
20,Adroid SDK
21,Advanced Installer
22,Advertising
23,Agile
24,Akka
25,Amazon AWS
26,Amelia Chat
27,Amplitude
28,Analityczne Myślenie
29,Analiza Biznesowa
30,Analytical skills
31,Android Studio
32,Android/iOS
33,Angielski
34,Angular
35,Ansible / Puppet / Chef
36,AnyConnect
37,Apache Cordova
38,Apex
39,Architecture
40,Automated Testing
41,Automatyzacja
42,Autosar
43,Axure RP
44,Azure Data Lake
45,BASH/ZSH
46,BI Publisher
47,BPM
48,Backend
49,Bamboo
50,Bash
51,Bazy Danych
52,Big Data
53,Bitcoin
54,Blockchain
55,Build/CI software
56,Business Analysis
57,C
58,C#
59,C++
60,CAD
61,CCNA Cerificate
62,CCNP
63,CI/CD
64,CIFS
65,CQRS
66,CSM
67,CSS / SASS
68,CSS3
69,Camunda BPM
70,Ceph
71,Chatboty
72,Chef / Ansible / Puppet
73,Cisco)
74,Citrix
75,Civil Engineering
76,Clean Code
77,Cloud
78,Cocoa Touch
79,Code Review
80,CodedUI
81,Communication
82,Commvault
83,Composer
84,Continuous Delivery
85,Control-M
86,Cura
87,Customer Support
88,Cybersecurity
89,DB/SQL
90,DDD
91,DELL EMC
92,DI
93,DRF
94,DSP
95,DWH
96,Dagger 2
97,Data Integration
98,Dell Boomi
99,Design Patterns
100,DevOps
101,Distributed systems
102,Django
103,Docker
104,Doors
105,Drupal
106,E-commerce
107,EA
108,EA; StarUML
109,ECMAScript
110,EKS
111,EKS/AKS
112,ERP
113,ES6+
114,ETL
115,Elasticsearch
116,Electron
117,Elixir
118,Embedded
119,English B2
120,Enova365
121,Enterprise Architect
122,Entity Framework
123,Ethereum
124,Experience in support
125,Exploratory testing
126,Express.js
127,FPGA
128,Figma / Sketch
129,Flask
130,Flutter
131,Front-End
132,Functional Programming
133,GIT/Bitbucket
134,GKE
135,GNU
136,GXP
137,Gerrit
138,"Git Jenkins, Docker,"
139,Gitlab CI
140,Golang
141,Google Cloud Platform
142,Gradle
143,GraphQL
144,Groovy
145,HAProxy
146,HLASM
147,HP QTP
148,HTML
149,HTML&CSS
150,HTTP
151,Hibernate
152,Hive
153,HotJar
