Skill,mapping
.NET C#,.NET C#
.NET Core,.NET Core
.NET Core (5 stars),.NET Core (5 stars)
.NET Framework 4.5.1,.NET Framework 4.5.1
.NET MVC,.NET MVC
.NET,.NET
.Net,.Net
.Net Framework,.Net Framework
3D level Design,3D level Design
3Dmatch,3Dmatch
3GPP,3GPP
5G,5G
AAA Services,AAA Services
AI,AI
AISEC,AISEC
AMS,AMS
API,API
API REST/SOAP,API REST/SOAP
API rest,API rest
ARM,ARM
ASP .NET Web API,ASP .NET Web API
ASP.,ASP.
ASP.NET,ASP.NET
ASP.NET Core,ASP.NET Core
ASP.NET Core MVC,ASP.NET Core MVC
ASP.NET MVC,ASP.NET MVC
ASP.NET MVC 5.,ASP.NET MVC 5.
ASP.NET Web API,ASP.NET Web API
ASP.NET.MVC 4/5.2,ASP.NET.MVC 4/5.2
AWS,AWS
AWS / GoogleCloud / Azure,AWS / GoogleCloud / Azure
AWS Azure,AWS Azure
AWS/Azure/Google Cloud,AWS/Azure/Google Cloud
AWS/GCP,AWS/GCP
Access,Access
Active Directory,Active Directory
Adobe Creative Cloud,Adobe Creative Cloud
Adobe Illustrator,Adobe Illustrator
Adobe Photoshop,Adobe Photoshop
Adobe XD,Adobe XD
Adroid SDK,Adroid SDK
Advanced Installer,Advanced Installer
Advertising,Advertising
Agile,Agile
Agile / Scrum,Agile / Scrum
Agile/Scrum,Agile/Scrum
Akka,Akka
Amazon AWS,Amazon AWS
Amazon Web Services,Amazon Web Services
Amelia Chat,Amelia Chat
Amplitude,Amplitude
Analityczne My?lenie,Analityczne My?lenie
Analiza Biznesowa,Analiza Biznesowa
Analytical Thinking,Analytical Thinking
Analytical skills,Analytical skills
Analytics,Analytics
Android,Android
Android Binding,Android Binding
Android SDK,Android SDK
Android Studio,Android Studio
Android/iOS,Android/iOS
Angielski,Angielski
Angular,Angular
Angular / React,Angular / React
Angular / React / Vue,Angular / React / Vue
Angular 2,Angular 2
Angular 2+,Angular 2+
Angular 4,Angular 4
Angular 4+,Angular 4+
Angular 5,Angular 5
Angular 5+,Angular 5+
Angular 6,Angular 6
Angular 6+,Angular 6+
Angular 7,Angular 7
Angular 8,Angular 8
Angular2+,Angular2+
AngularJS,AngularJS
Ansible,Ansible
Ansible / Puppet / Chef,Ansible / Puppet / Chef
Ansible or Salt,Ansible or Salt
Ansible/Puppet/Chef/ Salt,Ansible/Puppet/Chef/ Salt
AnyConnect,AnyConnect
Apache,Apache
Apache Cordova,Apache Cordova
Apache Hadoop,Apache Hadoop
Apache Karaf,Apache Karaf
Apache Spark,Apache Spark
Apex,Apex
Architecture,Architecture
Aurelia,Aurelia
Automated Testing,Automated Testing
Automatyzacja,Automatyzacja
Autosar,Autosar
Autosys,Autosys
Axure RP,Axure RP
Azure,Azure
Azure Data Lake,Azure Data Lake
Azure Databricks,Azure Databricks
Azure DevOps,Azure DevOps
Azure IoT Hub,Azure IoT Hub
Azure Kubernetes Service,Azure Kubernetes Service
Azure Services,Azure Services
BASH/ZSH,BASH/ZSH
BI Publisher,BI Publisher
BPM,BPM
BPMN,BPMN
BSCS,BSCS
Backend,Backend
Bamboo,Bamboo
Bash,Bash
Bash/Shell,Bash/Shell
Batch,Batch
Bazy Danych,Bazy Danych
Behat,Behat
Big Data,Big Data
Bitcoin,Bitcoin
Blockchain,Blockchain
Boost,Boost
Build/CI software,Build/CI software
Business Analysis,Business Analysis
Business Intelligence,Business Intelligence
C,C
C / C++,C / C++
C#,C#
C# / .NET,C# / .NET
C++,C++
C++ 14,C++ 14
C++11,C++11
C/C++,C/C++
CAD,CAD
CCNA Cerificate,CCNA Cerificate
CCNP,CCNP
CD,CD
CI,CI
CI / CD,CI / CD
CI/CD,CI/CD
CIFS,CIFS
CQRS,CQRS
CRM,CRM
CSM,CSM
CSS,CSS
CSS / HTML,CSS / HTML
CSS / SASS,CSS / SASS
CSS preprocessors,CSS preprocessors
CSS/SCSS,CSS/SCSS
CSS3,CSS3
CSV,CSV
Camunda BPM,Camunda BPM
Ceph,Ceph
Chatboty,Chatboty
Chef,Chef
Chef / Ansible / Puppet,Chef / Ansible / Puppet
Cisco,Cisco
Cisco),Cisco)
Citrix,Citrix
Citrix Storefront,Citrix Storefront
Civil Engineering,Civil Engineering
Clean Code,Clean Code
Clean Coding,Clean Coding
Cloud,Cloud
Cloud Computing,Cloud Computing
Cloudera,Cloudera
Cobol,Cobol
Cocoa Touch,Cocoa Touch
CocoaPods,CocoaPods
Code Review,Code Review
CodedUI,CodedUI
Communication,Communication
Communication Skills,Communication Skills
Commvault,Commvault
Composer,Composer
Computer science,Computer science
Confluence,Confluence
Containers,Containers
Continuous Delivery,Continuous Delivery
Continuous Integration,Continuous Integration
Control-M,Control-M
Cordova,Cordova
Credit Risk,Credit Risk
Cucumber,Cucumber
Cura,Cura
Customer Support,Customer Support
Cybersecurity,Cybersecurity
Cylance,Cylance
DB/SQL,DB/SQL
DDD,DDD
DELL EMC,DELL EMC
DI,DI
DPDK,DPDK
DRF,DRF
DSP,DSP
DWH,DWH
Dagger 2,Dagger 2
Dagger2,Dagger2
Dart,Dart
Data Integration,Data Integration
Data Science,Data Science
Data Warehouse,Data Warehouse
Data modeling,Data modeling
DataStage,DataStage
Databases,Databases
Dell Boomi,Dell Boomi
Dell Direct Attached,Dell Direct Attached
Design Patterns,Design Patterns
DevOps,DevOps
DevOps tools,DevOps tools
Distributed systems,Distributed systems
Django,Django
Django Rest Framework,Django Rest Framework
Docker,Docker
Docker / Kubernetes / Swarm,Docker / Kubernetes / Swarm
Docker/Kubernates,Docker/Kubernates
Doctrine,Doctrine
Dokumentacja,Dokumentacja
Doors,Doors
Drupal,Drupal
Drupal 7 lub Drupal 8,Drupal 7 lub Drupal 8
Drupal/Symfony,Drupal/Symfony
E-commerce,E-commerce
EA,EA
EA; StarUML,EA; StarUML
ECMAScript,ECMAScript
ECMAScript 6,ECMAScript 6
EDI,EDI
EKS,EKS
EKS/AKS,EKS/AKS
ELK Stack,ELK Stack
ERP,ERP
ES6,ES6
ES6+,ES6+
ES6+ Syntax,ES6+ Syntax
ES7,ES7
ESNext,ESNext
ETL,ETL
Elasticsearch,Elasticsearch
Electron,Electron
Elixir,Elixir
Embedded,Embedded
Embedded C,Embedded C
Embedded Software,Embedded Software
Embedded Systems,Embedded Systems
English,English
English B2,English B2
English skills,English skills
Enova365,Enova365
Enterprise Architect,Enterprise Architect
Entity Framework,Entity Framework
Entity Framework 6.1,Entity Framework 6.1
Ethereum,Ethereum
Experience in support,Experience in support
Exploratory testing,Exploratory testing
Express.js,Express.js
FPGA,FPGA
Figma / Sketch,Figma / Sketch
Flask,Flask
Flutter,Flutter
Front-End,Front-End
Functional Programming,Functional Programming
Functional Testing,Functional Testing
GCP,GCP
GCP/AWS,GCP/AWS
GIT/Bitbucket,GIT/Bitbucket
GKE,GKE
GNU,GNU
GNU Linux / Bash,GNU Linux / Bash
GNU Utils,GNU Utils
GUI,GUI
GXP,GXP
Game Design,Game Design
Gerrit,Gerrit
Gherkin,Gherkin
Git,Git
"Git Jenkins, Docker,","Git Jenkins, Docker,"
GitHub,GitHub
GitLab,GitLab
Gitlab CI,Gitlab CI
Go,Go
Golang,Golang
Google Analytics,Google Analytics
Google Cloud,Google Cloud
Google Cloud Platform,Google Cloud Platform
Google Optimize,Google Optimize
Google Tag,Google Tag
Google Tag Manager,Google Tag Manager
Gradle,Gradle
GraphQL,GraphQL
Graphl,Graphl
Groovy,Groovy
HAProxy,HAProxy
HLASM,HLASM
HP QTP,HP QTP
HP UFT,HP UFT
HTML,HTML
HTML / CSS,HTML / CSS
HTML 5,HTML 5
HTML&CSS,HTML&CSS
HTML/CSS,HTML/CSS
HTML5,HTML5
HTML5 / CSS3,HTML5 / CSS3
HTML5/CSS3,HTML5/CSS3
HTTP,HTTP
HTTP protocol,HTTP protocol
Hadoop,Hadoop
Helpdesk,Helpdesk
Heroku,Heroku
Hibernate,Hibernate
Hibernate 5,Hibernate 5
Hive,Hive
HotJar,HotJar
HubSpot,HubSpot
I 4.0,I 4.0
IBML,IBML
ICT,ICT
IDE,IDE
IDS,IDS
IIS,IIS
IP networks,IP networks
ISE,ISE
ISTQB,ISTQB
ISTQB Foundation,ISTQB Foundation
IT,IT
IT Security,IT Security
IT Support,IT Support
IT Technician,IT Technician
IT asset management and CMDB,IT asset management and CMDB
IT hardware troubleshooting,IT hardware troubleshooting
ITIL,ITIL
ITIL framework,ITIL framework
ITSM,ITSM
