,0
0,.NET C#
1,.Net
2,3D level Design
3,3Dmatch
4,3GPP
5,5G
6,AAA Services
7,AI
8,AISEC
9,AMS
10,API
11,ARM
12,ASP .NET Web API
13,ASP.
14,ASP.NET
15,ASP.NET.MVC 4/5.2
16,AWS
17,AWS/Azure/Google Cloud
18,AWS/GCP
19,Access
20,Active Directory
21,Adobe Creative Cloud
22,Adroid SDK
23,Advanced Installer
24,Advertising
25,Agile
26,Agile/Scrum
27,Akka
28,Amazon AWS
29,Amelia Chat
30,Amplitude
31,Analityczne Myślenie
32,Analiza Biznesowa
33,Analytical Thinking
34,Analytics
35,Android
36,Android/iOS
37,Angielski
38,Angular
39,Angular2+
40,AngularJS
41,Ansible
42,Ansible/Puppet/Chef/ Salt
43,AnyConnect
44,Apache
45,Apex
46,Architecture
47,Aurelia
48,Automated Testing
49,Automatyzacja
50,Autosar
51,Autosys
52,Axure RP
53,Azure
54,BASH/ZSH
55,BI Publisher
56,BPM
57,BPMN
58,BSCS
59,Backend
60,Bamboo
61,Bash
62,Bash/Shell
63,Batch
64,Bazy Danych
65,Behat
66,Big Data
67,Bitcoin
68,Blockchain
69,Boost
70,Build/CI software
71,Business Analysis
72,C
73,C#
74,C++
75,C++11
76,C/C++
77,CAD
78,CCNA Cerificate
79,CCNP
80,CD
81,CI
82,CI/CD
83,CIFS
84,CQRS
85,CRM
86,CSM
87,CSS
88,CSS/SCSS
89,CSS3
90,CSV
91,Camunda BPM
92,Ceph
93,Chatboty
94,Chef
95,Cisco
96,Cisco)
97,Citrix
98,Civil Engineering
99,Clean Code
100,Cloud
101,Cloudera
102,Cobol
103,Cocoa Touch
104,CocoaPods
105,Code Review
106,CodedUI
107,Communication
108,Commvault
109,Composer
110,Computer science
111,Confluence
112,Containers
113,Continuous Delivery
114,Control-M
115,Cordova
116,Credit Risk
117,Cucumber
118,Cura
119,Customer Support
120,Cybersecurity
121,Cylance
122,DB/SQL
123,DDD
124,DELL EMC
125,DI
126,DPDK
127,DRF
128,DSP
129,DWH
130,Dagger 2
131,Dagger2
132,Dart
133,Data Integration
134,DataStage
135,Databases
136,Dell Boomi
137,Design Patterns
138,DevOps
139,Distributed systems
140,Django
141,Docker
142,Docker/Kubernates
143,Doctrine
144,Dokumentacja
145,Doors
146,Drupal
147,Drupal/Symfony
148,E-commerce
149,EA
150,EA; StarUML
151,ECMAScript
152,EDI
153,EKS
154,EKS/AKS
155,ELK Stack
156,ERP
157,ES6
158,ES6+
